Original Value,Encoded Value
002XX E 55TH PL,946
002XX E 56TH ST,947
002XX E 57TH ST,948
002XX E 59TH ST,949
002XX E 60TH ST,950
002XX E 61ST ST,951
002XX E 63RD ST,952
002XX E 68TH ST,953
002XX E 69TH PL,954
002XX E 69TH ST,955
002XX E 70TH ST,956
002XX E 71ST ST,957
002XX E 72ND ST,958
002XX E 74TH ST,959
002XX E 75TH ST,960
002XX E 76TH ST,961
002XX E 77TH ST,962
002XX E 78TH ST,963
002XX E 79TH ST,964
002XX E 80TH ST,965
002XX E 82ND ST,966
002XX E 83RD ST,967
002XX E 87TH ST,968
002XX E 89TH PL,969
002XX E 89TH ST,970
002XX E 90TH PL,971
002XX E 90TH ST,972
002XX E 92ND ST,973
002XX E 93RD ST,974
002XX E 94TH ST,975
002XX E 95TH ST,976
002XX E 96TH ST,977
002XX E 99TH ST,978
002XX E BALBO DR,979
002XX E CERMAK RD,980
002XX E CHESTNUT ST,981
002XX E CHICAGO AVE,982
002XX E CULLERTON ST,983
002XX E Chicago Ave,984
002XX E DELAWARE PL,985
002XX E ERIE ST,986
002XX E GARFIELD BLVD,987
002XX E GRAND AVE,988
002XX E HURON ST,989
002XX E Huron St,990
